index	sentence1	sentence2	label
27	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	7th day	no
28	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an year	no
29	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	6 hours	yes
30	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an hour	yes
31	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an week	no
32	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	2 hours	yes
33	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	a hour	yes
34	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	2 seconds	no
35	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	the storm lasted through the day	yes
36	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	the storm lasted through the morning	yes
37	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	an second	no
38	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	2 weeks	no
39	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	a second	no
40	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	a year	no
41	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How long was the storm?	the storm lasted through the early morning	yes
42	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What happened next?	tara sailed the ship to safety	yes
43	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What happened next?	she drove for a while	no
44	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What happened next?	yutaka kume took the helm	no
45	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What happened next?	mr. luzon took the helm	no
46	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. Will the hail storm ever end?	yes	yes
47	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How often does a typical ship face a major storm like this?	once a day	no
48	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How often does a typical ship face a major storm like this?	once every 5 seconds	no
49	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How often does a typical ship face a major storm like this?	once a night	no
50	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How often does a typical ship face a major storm like this?	every minute	no
51	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How often does a typical ship face a major storm like this?	once a minute	no
52	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How often does a typical ship face a major storm like this?	once every 5 hours	no
53	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How often does a typical ship face a major storm like this?	rarely	yes
54	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How often does a typical ship face a major storm like this?	every day	no
55	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. How often does a typical ship face a major storm like this?	every night	no
56	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What time of day was the storm?	7:00 PM	yes
57	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What time of day was the storm?	it was morning	yes
58	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What time of day was the storm?	5:00 PM	yes
59	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What time of day was the storm?	7:00 AM	yes
60	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What time of day was the storm?	it was evening	yes
61	It's hail crackled across the comm, and Tara spun to retake her seat at the helm. What time of day was the storm?	3:00 PM	yes
62	Still , Preetam vows to marry Nandini if she meets him again . How long had they known each other?	only a few minutes	no
63	Still , Preetam vows to marry Nandini if she meets him again . How long had they known each other?	10 seconds	no
64	Still , Preetam vows to marry Nandini if she meets him again . How long had they known each other?	only a few centuries	no
65	Still , Preetam vows to marry Nandini if she meets him again . How long had they known each other?	30 years	no
66	Still , Preetam vows to marry Nandini if she meets him again . How long had they known each other?	a second	no
67	Still , Preetam vows to marry Nandini if she meets him again . How long had they known each other?	90 years	no
68	Still , Preetam vows to marry Nandini if she meets him again . How long had they known each other?	i asked if she wanted a jim beam	no
69	Still , Preetam vows to marry Nandini if she meets him again . What happened before they met?	they were lonely	yes
70	Still , Preetam vows to marry Nandini if she meets him again . What happened before they met?	they were seeing different people	yes
71	Still , Preetam vows to marry Nandini if she meets him again . How often did they think of each other?	every century	no
72	Still , Preetam vows to marry Nandini if she meets him again . How often did they think of each other?	every-day	yes
73	Still , Preetam vows to marry Nandini if she meets him again . How often did they think of each other?	rarely	no
74	Still , Preetam vows to marry Nandini if she meets him again . How often did they think of each other?	every day	yes
75	Still , Preetam vows to marry Nandini if she meets him again . How often did they think of each other?	daily	yes
76	Still , Preetam vows to marry Nandini if she meets him again . How often did they think of each other?	never	no
77	Still , Preetam vows to marry Nandini if she meets him again . How often did they think of each other?	every month	no
78	Still , Preetam vows to marry Nandini if she meets him again . What day did they meet?	saturday	yes
79	Still , Preetam vows to marry Nandini if she meets him again . What day did they meet?	friday	yes
80	Max and Joey would often run through fields in a game of chase. What happened after Max and Joey ran the fields?	they went home to have supper	yes
81	Max and Joey would often run through fields in a game of chase. What happened after Max and Joey ran the fields?	they walked home	yes
82	Max and Joey would often run through fields in a game of chase. What happened after Max and Joey ran the fields?	they sold a home	no
83	Max and Joey would often run through fields in a game of chase. What happened after Max and Joey ran the fields?	they went home	yes
84	Max and Joey would often run through fields in a game of chase. How long would they run through the fields?	max and joey ran 20 minutes through the fields	yes
85	Max and Joey would often run through fields in a game of chase. How long would they run through the fields?	30 minutes	yes
86	Max and Joey would often run through fields in a game of chase. How long would they run through the fields?	2 seconds	no
87	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	1.67 times a week	no
88	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	5 times a week	yes
89	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	on most weekdays before school	yes
90	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	every weekend	yes
91	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	once every 30 centuries	no
92	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	every late night before lunch	no
93	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	once every 30 months	no
94	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	once every 30 minutes	no
95	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	once every 30 days	no
96	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	once every 10 minutes	no
97	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	5 times a year	no
98	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	5 times a hour	no
99	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	once every 90 minutes	no
100	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	on most weekdays after school	yes
101	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	once every 3.33 minutes	no
102	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	0.56 times a week	no
103	Max and Joey would often run through fields in a game of chase. How often do Max and Joey run?	5 times a second	no
104	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. Was he still being introduced an hour later?	no	yes
105	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. Afterwards did Einstein and Chaplin know each other?	no, they forgot each other	no
106	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. Afterwards did Einstein and Chaplin know each other?	no	no
107	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. Afterwards did Einstein and Chaplin know each other?	yes, they were introduced	yes
108	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. Afterwards did Einstein and Chaplin know each other?	yes	yes
109	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	15 days	no
110	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	5 days	no
111	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	9 hour	no
112	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	1 second	no
113	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	1 hour	yes
114	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	45 minutes	yes
115	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	15 centuries	no
116	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	two years	no
117	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	5 years	no
118	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	5 seconds	no
119	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	5 months	no
120	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How long did the tour last?	45 days	no
121	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	about once a day	yes
122	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	5 times a century	no
123	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	every week	yes
124	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	once a century	no
125	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	every second	no
126	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	5 times a minute	no
127	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	about once a century	no
128	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	about once a minute	no
129	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	once a month	yes
130	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. How often does Carl give tours?	about once a month	yes
131	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. At what time did Einstein return home?	8:00 PM	yes
132	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. At what time did Einstein return home?	a second later	no
133	Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin. At what time did Einstein return home?	a hour later	yes
134	He layed down on the chair and pawed at her as she ran in a circle under it. How often does he lay on the chair?	every day	yes
135	He layed down on the chair and pawed at her as she ran in a circle under it. How often does he lay on the chair?	each day	yes
136	He layed down on the chair and pawed at her as she ran in a circle under it. How often does he lay on the chair?	every morning	yes
137	He layed down on the chair and pawed at her as she ran in a circle under it. How often does he lay on the chair?	once a day	yes
138	He layed down on the chair and pawed at her as she ran in a circle under it. How often does he lay on the chair?	once every day	yes
139	He layed down on the chair and pawed at her as she ran in a circle under it. How often does he lay on the chair?	once a century	no
140	He layed down on the chair and pawed at her as she ran in a circle under it. How often does he lay on the chair?	never	no
141	He layed down on the chair and pawed at her as she ran in a circle under it. How often does he lay on the chair?	every century	no
142	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	2 minutes	yes
143	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	2 days	no
144	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	3.5 hours	no
145	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	1 day	no
146	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	1.4 hours	no
147	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	90 minutes	no
148	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	0.5 minute	yes
149	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	7 hours	no
150	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	7 seconds	yes
151	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	7 days	no
152	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	1 minute	yes
153	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	30 seconds	yes
154	He layed down on the chair and pawed at her as she ran in a circle under it. How long did he paw at her?	0.2 minute	yes
155	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. How long was the counter-attack?	it was 2 months	yes
156	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. How long was the counter-attack?	a second	no
157	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. How long was the counter-attack?	it was 6 centuries	no
158	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. How long was the counter-attack?	it was 9 years	no
159	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What did the Chineese do next?	japan plans to send the chinese back home	no
160	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What did the Chineese do next?	the flood of claims and counter-claims worried consumers	no
161	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What did the Chineese do next?	they came back	yes
162	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What did the Chineese do next?	39 lenders across the u.s. offer home loans	no
163	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What did the Chineese do next?	they rested and regrouped	yes
164	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. Did the battle continue forever?	he unleashed his own , unstoppable , attack	no
165	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. Did the battle continue forever?	no	yes
166	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. Did the battle continue forever?	japan negotiating with the chinese government	no
167	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. How often is a warrior promoted during battle?	3000 times	no
168	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. How often is a warrior promoted during battle?	1000 times	no
169	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. How often is a warrior promoted during battle?	9000 times	no
170	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. How often is a warrior promoted during battle?	once or twice	yes
171	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What time did the battle end?	7:00 PM	yes
172	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What time did the battle end?	a minute before it started	no
173	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What time did the battle end?	7:00 AM	yes
174	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What time did the battle end?	midnight	yes
175	His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. What time did the battle end?	5:00 AM	yes
176	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	many of whom operate small businesses	no
177	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	2000 people per year	no
178	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	1702 people per year	no
179	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	every year	no
180	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	every other year	no
181	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	big financial stocks carried the day	no
182	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	every century	no
183	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	the year 2000	no
184	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	1925 people per year	no
185	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. How often did Arawak people die from European diseases?	1000 people per year	no
186	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. What time did the Spanish arrive?	at dawn	yes
187	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. For how long did the Spanish subjugate the Arawak population?	10 hours	no
188	The Spanish immediately began subjugating the Arawak population, many of whom died under the yoke of oppression and of diseases carried by the Europeans. Did the Spanish subjugate the Arawak population forever?	maybe	no
189	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	a hour	no
190	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	2 seconds	no
191	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	3 months	yes
192	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	1 days	no
193	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	2 weeks	no
194	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	3 days	no
195	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	3 centuries	no
196	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	a second	no
197	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	a week	no
198	About 30% of Ratners's profit already is derived from the U.S. How long did it take to make profit?	9 days	no
199	About 30% of Ratners's profit already is derived from the U.S. What happened before Ratners's made a profit?	he worked hard	yes
200	About 30% of Ratners's profit already is derived from the U.S. What happened before Ratners's made a profit?	he was rich	no
201	About 30% of Ratners's profit already is derived from the U.S. Is Ratners's profit derived from the U.S. today?	yes	yes
202	About 30% of Ratners's profit already is derived from the U.S. How often did Ratners make a profit?	pichia pastoris made protein from natural gas-derived alcohol	no
203	About 30% of Ratners's profit already is derived from the U.S. How often did Ratners make a profit?	every century	no
204	About 30% of Ratners's profit already is derived from the U.S. How often did Ratners make a profit?	sometimes	yes
205	About 30% of Ratners's profit already is derived from the U.S. How often did Ratners make a profit?	never	no
206	About 30% of Ratners's profit already is derived from the U.S. How often did Ratners make a profit?	once a second	no
207	About 30% of Ratners's profit already is derived from the U.S. What day did Ratners realize he had made profit?	ratner first noticed a profit after expanding their market to the us, one hour ago on april 1st	no
208	About 30% of Ratners's profit already is derived from the U.S. What day did Ratners realize he had made profit?	ratner first noticed a profit after expanding their market to the us, one second ago on april 1st	no
209	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	2:00 PM	yes
210	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	1:00 PM	yes
211	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	it spend on the facility	no
212	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	about 12 am	no
213	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	about 3 am	no
214	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	about 1 am	no
215	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	about 2 am	no
216	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	detroit began talking about plastic-bodied cars	no
217	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	3:00 PM	yes
218	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	3:00 AM	no
219	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	10:00 AM	yes
220	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	5:00 PM	yes
221	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	about 5 am	no
222	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	around 2 am	no
223	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	2:00 AM	no
224	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	about 10 am	yes
225	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	12:00 PM	yes
226	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. At what time do the wafers get placed on tracks?	12:00 AM	no
227	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. What happens after the wafers are put on tracks?	they are received	yes
228	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. What happens after the wafers are put on tracks?	they go to their destinations	yes
229	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. What happens after the wafers are put on tracks?	they're destroyed	no
230	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. What happens after the wafers are put on tracks?	they ' re moved to the place in the facility they ' re required	yes
231	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. For how long do the wafers ride on tracks?	two centuries	no
232	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. For how long do the wafers ride on tracks?	5 hours	yes
233	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. For how long do the wafers ride on tracks?	two months	no
234	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. For how long do the wafers ride on tracks?	two seconds	no
235	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. For how long do the wafers ride on tracks?	each week	no
236	The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. For how long do the wafers ride on tracks?	5 centuries	no
237	Lennon accuses his father of leaving him again , and then leaves , after telling his father that he wo n't live with him anymore . How often does Lennon's father leave him?	every hour	no
238	Lennon accuses his father of leaving him again , and then leaves , after telling his father that he wo n't live with him anymore . How often does Lennon's father leave him?	every second	no
239	Lennon accuses his father of leaving him again , and then leaves , after telling his father that he wo n't live with him anymore . How often does Lennon's father leave him?	every couple of minutes	no
