id,context,question,answer0,answer1,answer2,answer3,label
3BFF0DJK8XA7YNK4QYIGCOG1AF5TSR##3NJM2BJS4X4WLY0V2YPYHT7AE92PCU##A1OPGPTQJ48XOY##Blog_1426873##q1_a1##3BKZLF9901D6WI3SSYSAH3HN0XMYQ0,"The mob guys laughed and repeated "" I am a machine "" over and over , and they played poker . Later in the week they were on a train and the mob guys were robbing it and had him collect the goods . The police showed up and he was freaking out and the teacher he was with kept saying i told you not to talk to those guys , i ca nt do anything for you , and stuff .",What happened after the police showed up ?,he confessed to his involvement in the crimes and was promptly arrested,None of the above choices .,he admitted that he knew what they had done and then sold them out to the police in order to not serve prison time,he kept his cool because he realized that he did not appear to be a mob guy and they would not suspect him of doing anything for them but being their friend,3
3IVEC1GSLPXDQ0P51LPSEH6JM571J0##3UWN2HHPUZ3CPUDEJ526S96XZNOSNB##A2LTOS0AZ3B28A##Blog_1060504##q2_a1##3X0EMNLXER34SC78NAQ1AZNJDHIPV5,"I plan on doing some more work next weekend , by which time I 'll have regained my strength . It really is the most satisfying work ; I used to do chores like this all the time growing up , when I had a huge backyard and vegetable garden . Some of the neighbors would let me trim their trees when I asked , and I 'd climb around in them with a hatchet and a hand saw , cutting off the branches that were growing too close to windows and power lines . I 'd rake leaves and pull weeds for dollars .",What will happen after they are done cleaning the garden and trimming trees ?,They will fall out of the tree when in it cutting branches .,Their yard will stay nice and look great .,They will be to tired to keep up the work .,None of the above choices .,1
3IVEC1GSLPXDQ0P51LPSEH6JM571J0##3UWN2HHPUZ3CPUDEJ526S96XZNOSNB##A2LTOS0AZ3B28A##Blog_1060504##q2_a1##3X2LT8FDHYWW198WR3TMAFB7VGKW82,"I plan on doing some more work next weekend , by which time I 'll have regained my strength . It really is the most satisfying work ; I used to do chores like this all the time growing up , when I had a huge backyard and vegetable garden . Some of the neighbors would let me trim their trees when I asked , and I 'd climb around in them with a hatchet and a hand saw , cutting off the branches that were growing too close to windows and power lines . I 'd rake leaves and pull weeds for dollars .",What will happen after they are done cleaning the garden and trimming trees ?,They will be to tired to keep up the work .,They will love the time they spent outside and plant more .,They will fall out of the tree when in it cutting branches .,None of the above choices .,1
3TZDZ3Y0JS4OKOCWF9YFPNSGQQA918##3WMOAN2SRCVSHMUID07B3WQ4XIDNVN##AISNLDPD2DFEG##Blog_150138##q1_a1##371DNNCG46G49S42WYOBNV48RFQ8TY,"The flash in the room that followed was proof of that assumption . The man grabbed his arm again . "" Please let go of my arm . "" He requested , his voice low . "" Look .",What may he feel if the man did not let go of his arm ?,None of the above choices .,He would feel angry .,He would feel sad .,He would not feel anything .,1
3TZDZ3Y0JS4OKOCWF9YFPNSGQQA918##3WMOAN2SRCVSHMUID07B3WQ4XIDNVN##AISNLDPD2DFEG##Blog_150138##q1_a2##362E9TQF2J4TTTU9LK1V11JX4HNGI5,"The flash in the room that followed was proof of that assumption . The man grabbed his arm again . "" Please let go of my arm . "" He requested , his voice low . "" Look .",What may he feel if the man did not let go of his arm ?,He would feel happy .,He would not feel anything .,He would feel sad .,He would feel annoyed .,3
3GVPRXWRPJ8A00J8SHX1VO6443LI7Y##32XVDSJFP2CSX2ANXMK0GAS201V2MJ##A1I72NHC21347A##Blog_1415196##q1_a2##3W9XHF7WGM9O4T635NLED0DZMKFKTY,"Small - town rural America , with its throwback Main Streets , complete with diner , barbershop , newsstand , hardware store and antique - shop , provides a glimpse into the past . When times were slower , more simple . A time and place where you knew your neighbors , sipped lemonade on hot summer nights , swinging on an old porch swing and listened on the radio to the boys of summer . The events of a mid - summer baseball game , back in the golden age of baseball , was an on the edge of your seat thriller complete with heroes and villains .",What may happen if life was like it was when I grew up in the early 70 's ?,everything speeds up life is fast paced,The hustle bustle of life would make it all different,The hurried pace would change these things,None of the above choices .,3
35O6H0UNLSECEIQO28R4H7J0YHA5JC##3MMN5BL1W022NV7ZHPM57M9L1TRM3C##A3GVXFBYAU9HP##Blog_397835##q2_a1##39KV3A5D1ALZUEM4XTRFZQCREFM7S7,"I ' m back home in 20 minutes , just in time to make a couple of sandwiches for Teenager No . 2 who is out the door within ten minutes . Then I have forty minutes of me time before I have to get to work .",What will happen if I do n't get home in time to make the sandwiches for Teenager No . 2 ?,They will leave with the sandwiches .,They will eat the sandwiches .,None of the above choices .,I will give them money for lunch .,3
35O6H0UNLSECEIQO28R4H7J0YHA5JC##3MMN5BL1W022NV7ZHPM57M9L1TRM3C##A3GVXFBYAU9HP##Blog_397835##q1_a2##3XU9MCX6VQQG7YPLCSAFDPQNHXH2RY,"I ' m back home in 20 minutes , just in time to make a couple of sandwiches for Teenager No . 2 who is out the door within ten minutes . Then I have forty minutes of me time before I have to get to work .",What will I do after I make the sandwiches but before I go to work ?,None of the above choices .,I will take care of the kids .,I will clean up the house .,I will take a nap .,3
38LRF35D5LUIEJEE0O7P9CUR15IU3G##340UGXU9DZZ5CCERA1JXHRIY6OUUVV##A1I72NHC21347A##Blog_1346728##q1_a1##3CMV9YRYP5F5AWSGETJBQU35DKAJLG,"We kind of expected it though , she was the runt of the litter and had n't really been eating much the last few days and so was slowly getting weaker . ah well , survival of the fittest and all that . So yes today is the last day ... my cubicle is all packed up just need to move it all out to the car . Lori has scheduled a "" wrap - up "" meeting with me this morning for whatever reason ... everythings already wrapped up imo .",what may have happened before this discussion ?,My smallest puppy died,None of the above choices .,My puppy got weaker after I left work and got home,The pup died when I left to go to work,0
38LRF35D5LUIEJEE0O7P9CUR15IU3G##340UGXU9DZZ5CCERA1JXHRIY6OUUVV##A1I72NHC21347A##Blog_1346728##q2_a1##351S7I5UGBAVYWV1Q6ZQ3M7UIFAJNI,"We kind of expected it though , she was the runt of the litter and had n't really been eating much the last few days and so was slowly getting weaker . ah well , survival of the fittest and all that . So yes today is the last day ... my cubicle is all packed up just need to move it all out to the car . Lori has scheduled a "" wrap - up "" meeting with me this morning for whatever reason ... everythings already wrapped up imo .",What may   happen after I leave work today ?,None of the above choices .,I will have a wrap - up with Lori tomorrow .,I will be back tomorrow to pack up,I will not be coming back,3
38LRF35D5LUIEJEE0O7P9CUR15IU3G##340UGXU9DZZ5CCERA1JXHRIY6OUUVV##A1I72NHC21347A##Blog_1346728##q2_a1##3XH7ZM9YX48R7IAKX1PUNCY1N7NR9J,"We kind of expected it though , she was the runt of the litter and had n't really been eating much the last few days and so was slowly getting weaker . ah well , survival of the fittest and all that . So yes today is the last day ... my cubicle is all packed up just need to move it all out to the car . Lori has scheduled a "" wrap - up "" meeting with me this morning for whatever reason ... everythings already wrapped up imo .",What may   happen after I leave work today ?,I will be ready to start new job,I will be back tomorrow to pack up,None of the above choices .,I will have a wrap - up with Lori tomorrow .,0
373L46LKP9KUQQAYTT7ABUQQN2AKJI##3DQQ64TANJ0KUL573M1ZLL2M88NPWV##AJ7NSZOAFP05U##Blog_1487233##q1_a1##3V8JSVE8Y04HZFDNJ7XANMS9HP0YEG,"And how so ? I realize you ca n't live your life asking yourself "" what if "" ... because you 'll never have any answers . Even after everything that happens ... I still believe that everything happens for a reason ... even tho we do n't always know what that reason is ... if you change your mind , well that s the way it goes .","Why should you stop yourself from asking "" What If ? """,You 'll get stuck trying to make sense out of everything .,You 'll stop being stuck and you will find the answers to everything .,You could start changing your mind about things .,You 'll immediately find the reason why your problems are occuring .,0
3OCZWXS7ZO5I98EO5T3HXMWS2LT5LM##3A4TN5196LG48H27JLHT8K5JSNMCHG##A3GVXFBYAU9HP##Blog_694317##q1_a1##3OEWW2KGQLP0DVVLHPDSFDCM38LODX,"And it 's making me miserable . So I left it at home and hobbled around . As soon as I walked in , she said , "" Get over here ! "" It turns out , she used to work for orthopedics . She got to telling me about how she knew two people who 'd ended up having a leg amputated because they failed to overcome an internal infection in their leg ... like what the doc was worried I was getting . She spent much time belaboring this point . Aside from her scaring the ever - living shit out of me , my leg was REALLY sore today . I think I 'll use the crutch tomorrow .",What will I do after she warns me about the risks of amputation if I do n't listen to my doctor ?,I will start to use my crutches to walk around everywhere .,I will use my crutches to walk around at home until I get better .,None of the above choices .,I will bring my crutches with me everywhere in case I want to use them .,0
3OCZWXS7ZO5I98EO5T3HXMWS2LT5LM##3A4TN5196LG48H27JLHT8K5JSNMCHG##A3GVXFBYAU9HP##Blog_694317##q1_a2##3YO4AH2FPFY9ZN77KQH1PBN3OKV0QP,"And it 's making me miserable . So I left it at home and hobbled around . As soon as I walked in , she said , "" Get over here ! "" It turns out , she used to work for orthopedics . She got to telling me about how she knew two people who 'd ended up having a leg amputated because they failed to overcome an internal infection in their leg ... like what the doc was worried I was getting . She spent much time belaboring this point . Aside from her scaring the ever - living shit out of me , my leg was REALLY sore today . I think I 'll use the crutch tomorrow .",What will I do after she warns me about the risks of amputation if I do n't listen to my doctor ?,I will bring my crutches with me everywhere in case I want to use them .,None of the above choices .,I will use my crutches to walk around at home until I get better .,I will use my crutches to walk around everywhere until I get better .,3
32CAVSKPCG31Y5Z6XI56DH32W06U1W##36AHBNMV1URFUTXHDESS6O6DAVAYDG##A29RROPO0Z90XV##Blog_1206103##q1_a1##3XEDXEGFX52NOK9C7LX4TPBVQWGK0X,"There was singing and impromptu dancing during the actual ceremony and a horah shortly after . Every word and deed was weighed and considered , even the chuppah on which was written words and wishes from many close friends . This extraordinarily meaningful ceremony included the traditional ( in Jewish weddings ) seven blessings . The rabbi gave the first two and the last two blessings ; in between Cuppa , I and the other bride 's mother were given the opportunity to say one . Mine was quite the task as the girls asked me to pronounce the blessing in both Hebrew and English .",What will happen after the ceremony ?,They will eat at a banquet with all of their loved ones .,They will say their vows .,None of the above choices .,They will exchange rings with each other .,0
32CAVSKPCG31Y5Z6XI56DH32W06U1W##36AHBNMV1URFUTXHDESS6O6DAVAYDG##A29RROPO0Z90XV##Blog_1206103##q1_a2##3W0XM68YZR9NV9UU34147UU5VOMK10,"There was singing and impromptu dancing during the actual ceremony and a horah shortly after . Every word and deed was weighed and considered , even the chuppah on which was written words and wishes from many close friends . This extraordinarily meaningful ceremony included the traditional ( in Jewish weddings ) seven blessings . The rabbi gave the first two and the last two blessings ; in between Cuppa , I and the other bride 's mother were given the opportunity to say one . Mine was quite the task as the girls asked me to pronounce the blessing in both Hebrew and English .",What will happen after the ceremony ?,The happy couple will open their gifts at home .,None of the above choices .,They will say their vows .,They will exchange rings with each other .,0
3X4Q1O9UBHK52XV46EY6NNEIOPNO7H##3XUHV3NRVLWJ9WTS4BULUEZ90GJ5H4##AJ7NSZOAFP05U##Blog_852012##q1_a1##3ZCC2DXSD9IF5KUEJ894UPKPZ4UYYQ,"She also raised her arm to hit this guy who was facing away from us and nearly gave me a heart attack . I also grew SOOO tired because she would LEAN toward people as we walked by them . * I was so relieved to switch clients but was POURING sweat because I had to push L in her wheelchair up STEEP hills and through grass and so on . Much less stressful mentally but SOOO draining physically since I just recently started working out my body is kinda sore / tired anyways . So , all in all a pretty fun work day .",What may have caused you to become tired after you met with your clients ?,None of the above choices .,I wanted people who were more demanding of me .,My client raised her arm and hit me .,I had a heart attack when I had to push L in a wheelchair .,0
3A9LA2FRWUS4JKEF4CJEPBID7V9HXC##33UKMF931CZQUWUKPY583BWKWQRTT0##A2VNR6984SDFGQ##Blog_957702##q2_a1##3B286OTISGVOED1CH2ULHGNUJCYAJK,"My nephew , Matthew called today . He was at his grandma 's house and wanted to know if any of his cousins wanted to come swim in the pool with him . Jake was the only one not otherwise occupied , and since it was a sunny and hot day today , was more than happy to go cool off with Matthew .",What did Matthew do after swimming ?,Matthew cooked supper with grandma .,Matthew went to Jake,Matthew ran around the neighborhood for 2 hours .,None of the above choices .,3
3A9LA2FRWUS4JKEF4CJEPBID7V9HXC##33UKMF931CZQUWUKPY583BWKWQRTT0##A2VNR6984SDFGQ##Blog_957702##q2_a1##35YHTYFL1IHS1ZIE97UWY59FBFHVF2,"My nephew , Matthew called today . He was at his grandma 's house and wanted to know if any of his cousins wanted to come swim in the pool with him . Jake was the only one not otherwise occupied , and since it was a sunny and hot day today , was more than happy to go cool off with Matthew .",What did Matthew do after swimming ?,Matthew went to Jake,Matthew ran around the neighborhood for 2 hours .,None of the above choices .,Matthew cooked supper with grandma .,2
37ZQELHEQ2CLZ41MT3CIJEZBM5BNMO##3OJSZ2ATDVB1BWMNBZK9VZYORZK75Z##A1OPGPTQJ48XOY##Blog_252735##q1_a1##3SMIWMMK63JUZ6F9U6UR67TWSCAWUQ,"The last section ? Full of fail . I went and re - read all my notes in class , which made sense then and still do now . I read the book section which kinda made sense , but was not presented the same as the prof ( no suprize there . )",Why is the information in the book different to what was presented by your professor ?,Professors want to confuse us so that less students pass the course,Academics want to confuse us to make the exams harder,Professors want to make it difficult for us to do well on exams by providing different work,Most academics tend to interpret literature differently and therefore present it differently,3
3FI30CQHVKH2F3SQJZOSBPENMD9B6M##34X6J5FLPUW4TO7GC3L942AF8SHJQI##A1OPGPTQJ48XOY##Blog_341973##q1_a1##3M47JKRKCZFY7UTQ0LGICLCU7F868U,"I fed the cats , put the groceries away and heated up one of the stuffed portabella mushrooms I got at Whole Foods last Wednesday . I sat down to eat in front of the TV . Steve called and then Sue called right after that , interrupting my dinner .",What did you do after your dinner was interrupted ?,I gave my dinner to my husband and warmed another mushroom for myself while I took the call,None of the above choices .,I took the call then ate my dinner cold,I finished the call with Sue and then went and reheated my mushroom dinner,3
3YKP7CX6G4T0DS52M75K912RALH7BB##33ISQZVXPS1SMYQYHQFSPRWCK9BCCJ##A2KYOM2ZGYDJGT##Blog_1377595##q1_a1##34OWYT6U3YVEEJ717EVL9KXA0FI9IJ,"Dinner was n't much longer after that ... so we went back to the room all lazy - like and heavy - headed , haha . Aaand tried to get ready . We each had to shower to get the oil outta our hair ( ( cos they told us to , of course ) ) . It was another elegant night buuut it was more relaxed than the first one .",What 's a possible reason dinner was n't much longer after that ?,Because they each had to shower to get oil out of their hair .,Because they went back to the room all lazy .,Because they went back to the room heavy - headed .,None of the above choices .,3
3J9UN9O9J3QDJB4N52LS0CN9H9Z0JM##3SNLUL3WO5L2G72XWXHRUIKWE2WLUU##A1I72NHC21347A##Blog_1305130##q1_a2##3SCKNODZ0ZU2E1UZPXAT0W2LRGDN7A,"As I was driving out of my driveway this morning to take my trusty brood to school , and as I took a quick look back at my new shed , it suddenly hit me ! ... His and Hers Sheds ... How about that for a selling point ! Not that we will ever sell , you will be carrying me out of this one ! I told my hubby I had one good move left in me ... and this was it . If you think I have a heap of stuff ... you should try living with a hoarder who has a 5 bay shed !",What may have happened the day before I was leaving my driveway and taking the brood to school ?,None of the above choices .,I told the kids to hurry for school,I was looking back at my new shed,We had just moved into our new house,3
3Y3CZJSZ9KRTC691AD0DJY5R8ZP5RR##34S9DKFK74N9LGPNIBUVAVUYGSGNYK##AJ7NSZOAFP05U##Blog_629584##q1_a1##37SOB9Z0SUBUPIQRB8ROANMGHJW3LO,i really want to play roller hockey but firstly i do nt have all the equipment . secondly i have nt played for a really long time and i m not sure how i will produce or even make the team . and lastly is i do nt know if i m going to have enough time to play .,What might happen if you start to play roller hockey ?,I 'll produce a team immediately because I know to make a team .,I will have the proper equipment so I 'm ready to play .,None of the above choices .,I 'll play poorly as I 'm rusty .,3
32W3UF2EZQZM4AFPY938H9OZ1DUC4O##31UV0MXWNTRY0G3JUQO6MOOX6Y5I5I##A394JO4NEPCY3M##Blog_770281##q1_a1##3VQTAXTYN5Z2B3HYZFYVJTGBICCUBU,"At least if she was awake I could spend all my time trying to not let her poke holes in the cling wrap . Once she woke up however ? I regretted wishing that she was asleep . In fact , I would have paid good money for her to go back to sleep .",What would be different if she was awake ?,The narrator would be glad that she is awake,She would try to poke holes in the cling wrap,The narrator would not regret her being awake,She would not try to poke holes in the cling wrap,1
3909MD9T2ZFW5ZXLUJTM63XLI7UEFT##3SB4CE2TJWTD1S5O4B3O5B3PFWLXA0##A1OPGPTQJ48XOY##Blog_92647##q1_a1##3MQY1YVHS5YTRR8WGVOPDALJZFBB2Z,"And of course , the Daily Show was all over the media 's being all over it , and produced a segment on this topic in quite fanciful style : ( thanks Susie for the link ! ) But I digress a bit . An oppression olympics of a much more frightening kind ( and one that the mainstream media is n't all over ) is the Summer Olympics in Beijing . Let 's just put it bluntly -- shit is going down , but what we 're seeing is just the QUITE FANCIFUL show they 're putting on .",What would have happened if the event had not been conducted so fancifully ?,The world might have had an even more negative impression of Beijing,Athletes may have decided to not go to the event because of the poor quality of facilities,The world might have been more impressed with the lack of wasted money on unnecessary things,Athletes may have decided that they would support the event to help show the world that wealth does n't effect talent,0
31J7RYECZN4YFFCCO4D5MU7KKFW1L7##3JWH6J9I9VSS3XVJSGSBUIK636LBNJ##A3GVXFBYAU9HP##Blog_1413093##q1_a1##3EPG8DX9LM4NUISTHJ8O61TL1EDP54,"I honestly do n't think I ' ve ever been this excited in my life . I ' m pretty much shaking from excitement -- I know , I know , that sounds weird but I really am . I did jumping jacks in French class today and Madame Lipinski was like whaaaaa ?",What did Madame Lipinski say to me after I did jumping jacks in her class from excitement ?,She told me to do more jumping jacks .,She told me she was interrupting class .,She told me to sit down in my seat .,She told me she was happy for me .,2
31J7RYECZN4YFFCCO4D5MU7KKFW1L7##3JWH6J9I9VSS3XVJSGSBUIK636LBNJ##A3GVXFBYAU9HP##Blog_1413093##q1_a2##38EHZ67RIO6FPCK06ZZNTUQFMIGMGN,"I honestly do n't think I ' ve ever been this excited in my life . I ' m pretty much shaking from excitement -- I know , I know , that sounds weird but I really am . I did jumping jacks in French class today and Madame Lipinski was like whaaaaa ?",What did Madame Lipinski say to me after I did jumping jacks in her class from excitement ?,She told me to calm down and sit down .,She told me to do more jumping jacks .,She told me she was happy for me .,She told me she was interrupting class .,0
3MIVREZQVHWWIOF44LFJGXE49YCQKG##3JNQLM5FT5KTWVTVDD7LOZP4VW92LV##A394JO4NEPCY3M##Blog_947985##q1_a1##363A7XIFV60X5816YR84K4YOENOAV0,For some reason I have been thinking about my ex these last couple of days . I think it has to do with my birthday being a few days away . I never thought I would be turning another year older without him by my side . Breaking up is hard to do .,What may have happened before this story ?,The narrator was a year younger,None of the above choices .,The narrator had a birthday,The narrator ended a relationship,3
3J9UN9O9J56SD03UP0XSSABH9450JT##3T111IHZ5H5UU28EN3VWCWUQBPSR91##AJ7NSZOAFP05U##Blog_662667##q1_a1##3ATYLI1PRVGDGHVDRLZ3IB7Z8NYJOC,"This is getting wall - o - texty , so I 'll tie this up . As we continued talking about him going out west , he said , out of the blue "" yeah have you heard of the scientology "" fair game "" doctrine ? "" to which I responded "" yeah , a little too much lately . "" He said "" right on .",What might happen if someone tells you about a scientology doctrine ?,I 'd get a little peeved .,None of the above choices .,I 'd get a little curious .,"I 'd mention my interest in the "" fair game "" doctrine .",0
3DA79LNS59T3E6ZP0JHF4G8PIOV3TC##336KAV9KYRQDWU0UWSWBI7R05XB2YU##A1I72NHC21347A##Blog_1059762##q2_a1##34KYK9TV2TMMWQPUAA3V4SYNX5GSBH,"I had a very fun and interesting weekend this weekend . Friday was spent being totally lazy . I played a lot of sudoku and watched Mansfield Park , which was cute , and Jane Eyre , which was boring . And now I know that I like Jane Austen , not Charlotte Bronte . When Chris got home we went to Microcenter to switch out the memory we 'd gotten for the new computer .",What may happen after we go to the Microcenter ?,Go to the microcenter to switch the memory for computer,Our computer would be ready to use again,I would watch Mansfield Park and Jayne Erie,None of the above choices .,1
3DA79LNS59T3E6ZP0JHF4G8PIOV3TC##336KAV9KYRQDWU0UWSWBI7R05XB2YU##A1I72NHC21347A##Blog_1059762##q1_a2##3P6ENY9P7BA7TPPK5QJDM1VYJKJHIU,"I had a very fun and interesting weekend this weekend . Friday was spent being totally lazy . I played a lot of sudoku and watched Mansfield Park , which was cute , and Jane Eyre , which was boring . And now I know that I like Jane Austen , not Charlotte Bronte . When Chris got home we went to Microcenter to switch out the memory we 'd gotten for the new computer .",What may have happened if I had work on Friday ?,None of the above choices .,Could play my favorite game sudoku,I 'd have time to watch a few shows like Mansfield Park,I 'd enjoy a totally lazy day,0
3DA79LNS59T3E6ZP0JHF4G8PIOV3TC##336KAV9KYRQDWU0UWSWBI7R05XB2YU##A1I72NHC21347A##Blog_1059762##q2_a1##3WJGKMRWVKNZ46YIRK41KDI5EN6DCF,"I had a very fun and interesting weekend this weekend . Friday was spent being totally lazy . I played a lot of sudoku and watched Mansfield Park , which was cute , and Jane Eyre , which was boring . And now I know that I like Jane Austen , not Charlotte Bronte . When Chris got home we went to Microcenter to switch out the memory we 'd gotten for the new computer .",What may happen after we go to the Microcenter ?,I would spend the day being lazy,I would watch Mansfield Park and Jayne Erie,Go to the microcenter to switch the memory for computer,None of the above choices .,3
3DA79LNS59T3E6ZP0JHF4G8PIOV3TC##336KAV9KYRQDWU0UWSWBI7R05XB2YU##A1I72NHC21347A##Blog_1059762##q1_a1##3L84EBDQ39GP1AGGBE7MC9Q335CKKC,"I had a very fun and interesting weekend this weekend . Friday was spent being totally lazy . I played a lot of sudoku and watched Mansfield Park , which was cute , and Jane Eyre , which was boring . And now I know that I like Jane Austen , not Charlotte Bronte . When Chris got home we went to Microcenter to switch out the memory we 'd gotten for the new computer .",What may have happened if I had work on Friday ?,I 'd have time to watch a few shows like Mansfield Park,None of the above choices .,I 'd enjoy a totally lazy day,Could play my favorite game sudoku,1
3OPLMF3EU5LMZXKU9TZ3R3WET1ANL1##3YMU66OBIO6HPTICL7DCYBQYQW7GHL##A2MHM7JK1T9XHR##Blog_133516##q1_a2##3566S7OX5FXZ0UNAKACV3PPIOKH715,"So I did . And the giddiness firmly overrode the panic that had been gripping me up till this point . So after drinks with my family , I bid goodbye ( Simon earning a smack from Dad when he said , on reaching the security checkpoint , "" darn , you ca n't take your gun .",What may happen before the giddiness overrode the panic ?,I got accepted to college in a new state,I turned down a job in a new state,I got accepted to college near my family,I accepted a new job near my family,0
